위도,경도,name,addr:full,phone,업종,amenity,shower,fee,landuse,source:date
35.36279,126.44453,중앙목욕탕,전라남도 영광군 법성면 법성리 706-2,356-4077,목욕탕,public_bath,yes,yes,,2021-01-28
35.36651,126.46085,해광양만장,전라남도 영광군 법성면 화천길 69,,내수면양식어업,,,,,2021-01-28
35.3408,126.46926,동마수산,전라남도 영광군 법성면 영광로2길 42-15외7,061-356-1811,내수면양식어업,,,,,2021-01-28
35.28407,126.46736,만정양식장,전라남도 영광군 군서면 만곡리 440-25,,내수면양식어업,,,,,2021-01-28
35.29575,126.53725,제일양만,전라남도 영광군 영광읍 입석리 12-12,352-1326,내수면양식어업,,,,,2021-01-28
35.28181,126.39686,대전양만장,전라남도 영광군 백수읍 대전리 416-2,,내수면양식어업,,,,,2021-01-28
35.27574,126.38225,지산양만장,전라남도 영광군 백수읍 지산리 1056,061-353-5469,내수면양식어업,,,,,2021-01-28
35.26111,126.37329,호산양만장,전라남도 영광군 백수읍 상사리 염백로3길 16-1,,내수면양식어업,,,,,2021-01-28
35.39785,126.44762,홍농탕,전라남도 영광군 홍농읍 상하리 214-12,061-356-5174,목욕탕,public_bath,yes,yes,,2021-01-28
35.36138,126.44568,무등목욕탕,전라남도 영광군 법성면 법성리 648-12,,목욕탕,public_bath,yes,yes,,2021-01-28
35.27731,126.54616,한성수산,전라남도 영광군 묘량면 덕흥리 95-2,,내수면양식어업,,,,,2021-01-28
35.30018,126.43708,오성농산,전라남도 영광군 백수읍 천정리 산159-2,061-351-0350,내수면양식어업,,,,,2021-01-28
35.20727,126.33546,거성농산,전라남도 영광군 염산면 야월리 칠산로5길 345,061-352-9805,공통시설,,,,,2021-01-28
35.39172,126.44185,지마트 홍농점,전라남도 영광군 홍농읍 홍농로 398,061-356-5090,목욕탕,public_bath,yes,yes,,2021-01-28
35.27043,126.36692,중촌위탁영농,전라남도 영광군 백수읍 하사리 백수로 477,061-352-0961,공통시설,,,,,2021-01-28
35.29521,126.50554,창성양만장,전라남도 영광군 영광읍 월평리 와룡로 145-23 ,061-351-1917,내수면양식어업,,,,,2021-01-28
35.37145,126.46732,화천양만장,전라남도 영광군 법성면 화천리 화천길1길 130,061-356-6354,내수면양식어업,,,,,2021-01-28
35.2969,126.45862,만강양만,전라남도 영광군 백수읍 장산리 243-1,,내수면양식어업,,,,,2021-01-28
35.30611,126.4591,장산영어조합법인,전라남도 영광군 백수읍 장산리 401-18외2,061-352-6946,내수면양식어업,,,,,2021-01-28
35.3644,126.48271,신성양만,전라남도 영광군 법성면 용덕리 479-4,061-356-2011,내수면양식어업,,,,,2021-01-28
35.36521,126.47991,승희양만,전라남도 영광군 법성면 용덕리 450-4외1,,내수면양식어업,,,,,2021-01-28
35.36464,126.4803,금호양만장,전라남도 영광군 법성면 용성리 843-1외1,061-356-4550,내수면양식어업,,,,,2021-01-28
35.29524,126.50555,태호양만장,전라남도 영광군 영광읍 월평리 와룡로 145-23,061-353-9922,내수면양식어업,,,,,2021-01-28
35.22297,126.49622,신흥수산,전라남도 영광군 불갑면 부춘리 357-1,061-351-0502,내수면양식어업,,,,,2021-01-28
35.35283,126.46045,청산양만영어조합법인,전라남도 영광군 법성면 대덕리 211-1외2,,내수면양식어업,,,,,2021-01-28
35.36755,126.49612,신계양만,전라남도 영광군 법성면 용덕리 용덕로4길 45 ,,내수면양식어업,,,,,2021-01-28
35.36737,126.49553,용덕수산,전라남도 영광군 법성면 용덕리 45외1,,내수면양식어업,,,,,2021-01-28
35.36974,126.44212,대성양만,전라남도 영광군 법성면 법성리 연우로 84,061-356-1449,내수면양식어업,,,,,2021-01-28
35.34584,126.48495,장수양만장,전라남도 영광군 법성면 용성리 873-3외1,,내수면양식어업,,,,,2021-01-28
35.21395,126.34064,아세아물산,전라남도 영광군 염산면 봉남리 1135외3,061-352-7555,내수면양식어업,,,,,2021-01-28
35.21495,126.33968,아삼영어조합법인,전라남도 영광군 염산면 봉남리 1132외1,061-351-7555,내수면양식어업,,,,,2021-01-28
