위도,경도,name,phone,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,amenity
33.2508916308,126.5638674484,강성현 치과의원,+82 64 762 2793,,2020-06-30,,동문로,30-2,,,,,dentist
33.2530076684,126.5615347158,고운부부치과의원,+82 64 762 2879,,2020-06-30,,중앙로,94,,,,,dentist
33.2523669,126.5543846,그랜드치과의원,+82 64 805 1004,,2020-06-30,,일중동로,8723,,,,,dentist
33.2478123821,126.562019926,김관원 치과의원,+82 64 763 2828,,2020-06-30,,중정로,53,,,,,dentist
33.2530375488,126.5618264539,김성국 치과의원,+82 64 732 0028,,2020-06-30,,일주동로,8673,,,,,dentist
33.2466297204,126.5620987914,김익현 치과의원,+82 64 732 7522,,2020-06-30,,중앙로,22,,,,,dentist
33.2527194803,126.5040260664,노벨치과의원,+82 64 712 2875,,2020-06-30,,대청로,39,,,,,dentist
33.2608928185,126.557829237,다나치과의원,+82 64 762 7528,,2020-06-30,,중앙로,189,,,,,dentist
33.2550559971,126.5718352158,동홍치과의원,+82 64 763 2878,,2020-06-30,,동홍중앙로,49,,,,,dentist
33.2489926319,126.5073221055,리더스치과의원,+82 64 738 7522,,2020-06-30,,월드컵로,8,,,,,dentist
33.2523832969,126.5603874633,문장봉 치과의원의원,+82 64 763 2833,,2020-06-30,,서문로,2,,,,,dentist
33.2490984529,126.5667521758,미래치과의원,+82 64 733 7528,,2020-06-30,,동문로,62-1,,,,,dentist
33.2473856103,126.5616786799,미소를 찾는 치과의원,+82 64 763 7528,,2020-06-30,,중정로,50,,,,,dentist
33.2520020483,126.4229941848,백상치과의원,+82 64 738 9240,,2020-06-30,,중문로,1,,,,,dentist
33.2527347788,126.504244894,서울미치과의원의원,+82 64 738 2875,,2020-06-30,,대청로,41,,,,,dentist
33.2528454687,126.5615612807,서울치과의원,+82 64 732 2828,,2020-06-30,,중앙로,92,,,,,dentist
33.2515411184,126.4254824854,선치과의원,+82 64 738 2811,,2020-06-30,,천제연로,194,,,,,dentist
33.2479220146,126.5644831084,성수치과의원,+82 64 762 2828,,2020-06-30,,중정로,76,,,,,dentist
33.2530924167,126.5620450957,스타치과교정과 치과의원,+82 64 767 9898,,2020-06-30,,일주동로,8671,,,,,dentist
33.2521723812,126.5609164869,양 치과의원,+82 64 732 3113,,2020-06-30,,중앙로,85,,,,,dentist
33.2520244408,126.5608957647,연세치과의원,+82 64 732 2833,,2020-06-30,,중앙로,83,,,,,dentist
33.2481529133,126.563477583,오만용 치과의원,+82 64 763 2222,,2020-06-30,,중정로,67,,,,,dentist
33.2527829305,126.560192302,오승혁치과의원,+82 64 763 2222,,2020-06-30,,일주동로,8687,,,,,dentist
33.2526946521,126.4230282644,원치과,+82 64 738 2855,,2020-06-30,,중문로,7,,,,,dentist
33.2540196681,126.5662685917,유디 서귀포치과의원,+82 64 900 7743,,2020-06-30,,일주동로,8629,,,,,dentist
33.2530190325,126.5616891876,이사랑치과의원,+82 64 733 2875,,2020-06-30,,일주동로,8675,,,,,dentist
33.2474893417,126.5624593407,장정훈 치과의원,+82 64 763 0028,,2020-06-30,,중정로,56-1,,,,,dentist
33.255061498,126.575543963,제주좋은치과의원,+82 64 733 2879,,2020-06-30,,일주동로,8544,,,,,dentist
33.2518828457,126.424510174,중문미담치과의원,+82 64 738 7528,,2020-06-30,,천제연로,185,,,,,dentist
33.2516096646,126.4239282045,중문치과의원,+82 64 738 2875,,2020-06-30,,천제연로,182,,,,,dentist
33.2523187143,126.5615038173,참 조은치과의원,+82 64 733 2828,,2020-06-30,,동문로,2,,,,,dentist
33.2500867414,126.5657471892,참사랑 치과의원,+82 64 763 2875,,2020-06-30,,중앙로48번길,42,,,,,dentist
33.2520980847,126.5613246379,한용환 치과의원,+82 64 762 5090,,2020-06-30,,중앙로,84,,,,,dentist
33.2502055443,126.509431408,해맑은치과의원,+82 64 739 2875,,2020-06-30,,신서귀로,9,,,,,dentist
33.2483899974,126.5673351232,형제치과의원의원,+82 64 763 9800,,2020-06-30,,중정로,104,,,,,dentist
33.4502518189,126.9149540997,신성산치과의원,+82 64 782 6235,,2020-06-30,,고성오조로,74,성산읍,,,,dentist
33.2749678067,126.6607174819,위미연세치과의원,+82 64 764 2299,,2020-06-30,,태위로,123,남원읍,,,,dentist
33.2791539171,126.7196203159,돌담치과의원,+82 64 764 2275,,2020-06-30,,태위로,684,남원읍,,,,dentist
33.4502902734,126.9131987641,고성치과의원,+82 64 783 2772,제주특별자치도 서귀포시 성산읍 고성동서로 56번길 2,2020-06-30,,고성동서로,2,성산읍,,,,dentist
33.2794970867,126.7198639646,우리들치과의원,+82 64 764 7528,,2020-06-30,,태위로,687,남원읍,,,,dentist
33.4462535018,126.9115594203,조은치과의원,+82 64 784 7528,,2020-06-30,,일주동로,4282,성산읍,,,,dentist
33.4501996,126.9111133,동남치과의원,+82 64 784 2875,제주특별자치도 서귀포시 성산읍 고성오로조 71-1,2020-06-30,,,71-1,성산읍,,,,dentist
33.3257195513,126.8327926985,서울리더스치과의원,+82 64 787 2875,,2020-06-30,,표선동서로,246,표선면,,,,dentist
33.3260292359,126.8324398286,서울치과의원,+82 64 787 2829,제주특별자치도 서귀포시 표선면 표선중앙로 80번길 1,2020-06-30,,표선중앙로,1,표선면,,,,dentist
33.2789224808,126.7177532715,김의신치과의원,+82 64 764 2820,,2020-06-30,,태위로,665-1,남원읍,,,,dentist
33.3262892111,126.8326670239,강성백치과의원,+82 64 787 7999,,2020-06-30,,표선중앙로,79,표선면,,,,dentist
33.2793590228,126.7194135589,남원치과의원,+82 64 764 2823,,2020-06-30,,태위로,683,남원읍,,,,dentist
33.2214040708,126.2522047732,강부협치과의원,+82 64 794 4744,,2020-06-30,,하모중앙로,75,대정읍,,,,dentist
33.2216005625,126.2536963098,이승훈치과의원,+82 64 792 2804,,2020-06-30,,하모상가로,46,대정읍,,,,dentist
33.2213908789,126.2518101302,포도나무치과의원,+82 64 794 7528,,2020-06-30,,하모중앙로,76,대정읍,,,,dentist
33.2260414283,126.2527145679,강승우치과의원,+82 64 794 2833,,2020-06-30,,동일하모로,201,대정읍,,,,dentist
33.2216071532,126.25419399,서울i치과의원,+82 64 792 7525,,2020-06-30,,신영로,108,대정읍,,,,dentist
33.246553391,126.3356987762,안덕치과의원,+82 64 792 8275,,2020-06-30,,화순로,101,안덕면,,,,dentist
33.2840884496,126.2742564784,더치과의원,+82 64 792 2874,,2020-06-30,,에듀시티로,148,대정읍,,,,dentist
